type,tau,power
exponential_kernel,2.5,20.0
exponential_kernel,3.0,0.5
exponential_kernel,3.0,1.0
exponential_kernel,3.0,1.5
exponential_kernel,3.0,2.0
exponential_kernel,3.0,2.5
exponential_kernel,3.0,3.0
exponential_kernel,3.0,3.5
exponential_kernel,3.0,4.0
exponential_kernel,3.0,4.5
exponential_kernel,3.0,5.0
exponential_kernel,3.0,5.5
exponential_kernel,3.0,6.0
exponential_kernel,3.0,6.5
exponential_kernel,3.0,7.0
exponential_kernel,3.0,7.5
exponential_kernel,3.0,8.0
exponential_kernel,3.0,8.5
exponential_kernel,3.0,9.0
exponential_kernel,3.0,9.5
exponential_kernel,3.0,10.0
exponential_kernel,3.0,10.5
exponential_kernel,3.0,11.0
exponential_kernel,3.0,11.5
exponential_kernel,3.0,12.0
exponential_kernel,3.0,12.5
exponential_kernel,3.0,13.0
exponential_kernel,3.0,13.5
exponential_kernel,3.0,14.0
exponential_kernel,3.0,14.5
exponential_kernel,3.0,15.0
exponential_kernel,3.0,15.5
exponential_kernel,3.0,16.0
exponential_kernel,3.0,16.5
exponential_kernel,3.0,17.0
exponential_kernel,3.0,17.5
exponential_kernel,3.0,18.0
exponential_kernel,3.0,18.5
exponential_kernel,3.0,19.0
exponential_kernel,3.0,19.5
exponential_kernel,3.0,20.0
exponential_kernel,3.5,0.5
exponential_kernel,3.5,1.0
exponential_kernel,3.5,1.5
exponential_kernel,3.5,2.0
exponential_kernel,3.5,2.5
exponential_kernel,3.5,3.0
exponential_kernel,3.5,3.5
exponential_kernel,3.5,4.0
exponential_kernel,3.5,4.5
exponential_kernel,3.5,5.0
exponential_kernel,3.5,5.5
exponential_kernel,3.5,6.0
exponential_kernel,3.5,6.5
exponential_kernel,3.5,7.0
exponential_kernel,3.5,7.5
exponential_kernel,3.5,8.0
exponential_kernel,3.5,8.5
exponential_kernel,3.5,9.0
exponential_kernel,3.5,9.5
exponential_kernel,3.5,10.0
exponential_kernel,3.5,10.5
exponential_kernel,3.5,11.0
exponential_kernel,3.5,11.5
exponential_kernel,3.5,12.0
exponential_kernel,3.5,12.5
exponential_kernel,3.5,13.0
exponential_kernel,3.5,13.5
exponential_kernel,3.5,14.0
exponential_kernel,3.5,14.5
exponential_kernel,3.5,15.0
exponential_kernel,3.5,15.5
exponential_kernel,3.5,16.0
exponential_kernel,3.5,16.5
exponential_kernel,3.5,17.0
exponential_kernel,3.5,17.5
exponential_kernel,3.5,18.0
exponential_kernel,3.5,18.5
exponential_kernel,3.5,19.0
exponential_kernel,3.5,19.5
exponential_kernel,3.5,20.0
exponential_kernel,4.0,0.5
exponential_kernel,4.0,1.0
exponential_kernel,4.0,1.5
exponential_kernel,4.0,2.0
exponential_kernel,4.0,2.5
exponential_kernel,4.0,3.0
exponential_kernel,4.0,3.5
exponential_kernel,4.0,4.0
exponential_kernel,4.0,4.5
exponential_kernel,4.0,5.0
exponential_kernel,4.0,5.5
exponential_kernel,4.0,6.0
exponential_kernel,4.0,6.5
exponential_kernel,4.0,7.0
exponential_kernel,4.0,7.5
exponential_kernel,4.0,8.0
exponential_kernel,4.0,8.5
exponential_kernel,4.0,9.0
exponential_kernel,4.0,9.5
exponential_kernel,4.0,10.0
exponential_kernel,4.0,10.5
exponential_kernel,4.0,11.0
exponential_kernel,4.0,11.5
exponential_kernel,4.0,12.0
exponential_kernel,4.0,12.5
exponential_kernel,4.0,13.0
exponential_kernel,4.0,13.5
exponential_kernel,4.0,14.0
exponential_kernel,4.0,14.5
exponential_kernel,4.0,15.0
exponential_kernel,4.0,15.5
exponential_kernel,4.0,16.0
exponential_kernel,4.0,16.5
exponential_kernel,4.0,17.0
exponential_kernel,4.0,17.5
exponential_kernel,4.0,18.0
exponential_kernel,4.0,18.5
exponential_kernel,4.0,19.0
exponential_kernel,4.0,19.5
exponential_kernel,4.0,20.0
exponential_kernel,4.5,0.5
exponential_kernel,4.5,1.0
exponential_kernel,4.5,1.5
exponential_kernel,4.5,2.0
exponential_kernel,4.5,2.5
exponential_kernel,4.5,3.0
exponential_kernel,4.5,3.5
exponential_kernel,4.5,4.0
exponential_kernel,4.5,4.5
exponential_kernel,4.5,5.0
exponential_kernel,4.5,5.5
exponential_kernel,4.5,6.0
exponential_kernel,4.5,6.5
exponential_kernel,4.5,7.0
exponential_kernel,4.5,7.5
exponential_kernel,4.5,8.0
exponential_kernel,4.5,8.5
exponential_kernel,4.5,9.0
exponential_kernel,4.5,9.5
exponential_kernel,4.5,10.0
exponential_kernel,4.5,10.5
exponential_kernel,4.5,11.0
exponential_kernel,4.5,11.5
exponential_kernel,4.5,12.0
exponential_kernel,4.5,12.5
exponential_kernel,4.5,13.0
exponential_kernel,4.5,13.5
exponential_kernel,4.5,14.0
exponential_kernel,4.5,14.5
exponential_kernel,4.5,15.0
exponential_kernel,4.5,15.5
exponential_kernel,4.5,16.0
exponential_kernel,4.5,16.5
exponential_kernel,4.5,17.0
exponential_kernel,4.5,17.5
exponential_kernel,4.5,18.0
exponential_kernel,4.5,18.5
exponential_kernel,4.5,19.0
exponential_kernel,4.5,19.5
exponential_kernel,4.5,20.0
exponential_kernel,5.0,0.5
exponential_kernel,5.0,1.0
exponential_kernel,5.0,1.5
exponential_kernel,5.0,2.0
exponential_kernel,5.0,2.5
exponential_kernel,5.0,3.0
exponential_kernel,5.0,3.5
exponential_kernel,5.0,4.0
exponential_kernel,5.0,4.5
exponential_kernel,5.0,5.0
exponential_kernel,5.0,5.5
exponential_kernel,5.0,6.0
exponential_kernel,5.0,6.5
exponential_kernel,5.0,7.0
exponential_kernel,5.0,7.5
exponential_kernel,5.0,8.0
exponential_kernel,5.0,8.5
exponential_kernel,5.0,9.0
exponential_kernel,5.0,9.5
exponential_kernel,5.0,10.0
exponential_kernel,5.0,10.5
exponential_kernel,5.0,11.0
exponential_kernel,5.0,11.5
exponential_kernel,5.0,12.0
exponential_kernel,5.0,12.5
exponential_kernel,5.0,13.0
exponential_kernel,5.0,13.5
exponential_kernel,5.0,14.0
exponential_kernel,5.0,14.5
exponential_kernel,5.0,15.0
exponential_kernel,5.0,15.5
exponential_kernel,5.0,16.0
exponential_kernel,5.0,16.5
exponential_kernel,5.0,17.0
exponential_kernel,5.0,17.5
exponential_kernel,5.0,18.0
exponential_kernel,5.0,18.5
exponential_kernel,5.0,19.0
exponential_kernel,5.0,19.5
exponential_kernel,5.0,20.0
exponential_kernel,5.5,0.5
exponential_kernel,5.5,1.0
exponential_kernel,5.5,1.5
exponential_kernel,5.5,2.0
exponential_kernel,5.5,2.5
exponential_kernel,5.5,3.0
exponential_kernel,5.5,3.5
exponential_kernel,5.5,4.0
exponential_kernel,5.5,4.5
exponential_kernel,5.5,5.0
exponential_kernel,5.5,5.5
exponential_kernel,5.5,6.0
exponential_kernel,5.5,6.5
exponential_kernel,5.5,7.0
exponential_kernel,5.5,7.5
exponential_kernel,5.5,8.0
exponential_kernel,5.5,8.5
exponential_kernel,5.5,9.0
exponential_kernel,5.5,9.5
exponential_kernel,5.5,10.0
exponential_kernel,5.5,10.5
exponential_kernel,5.5,11.0
exponential_kernel,5.5,11.5
exponential_kernel,5.5,12.0
exponential_kernel,5.5,12.5
exponential_kernel,5.5,13.0
exponential_kernel,5.5,13.5
exponential_kernel,5.5,14.0
exponential_kernel,5.5,14.5
